STATE,COUNTY,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019
16,011,45226,45071,45313,45888,46054,46772
16,013,21471,21659,22069,22401,22736,23012
16,015,6780,6963,7099,7370,7689,7903
16,017,41330,41656,42423,43715,44709,45774
16,019,108285,109916,112162,114608,116661,119286
16,021,10963,11310,11714,11995,12073,12340
16,023,2658,2565,2573,2582,2592,2620
16,025,1052,1068,1078,1092,1098,1091
16,027,202542,206956,211573,217037,223518,230270
16,029,6793,6732,6870,6980,7019,7149
16,031,23503,23497,23477,23661,23769,24052
16,033,889,885,867,878,845,838
16,035,8564,8554,8660,8651,8759,8761
16,037,4134,4061,4089,4138,4216,4273
16,039,26257,25861,26178,26907,27309,27373
16,041,12924,12974,13345,13501,13718,13898
16,043,12815,12824,12932,13140,13162,13105
16,045,16665,16706,17005,17351,17622,18174
16,047,15080,15181,15150,15155,15187,15290
16,049,16285,16312,16247,16392,16469,16623
16,051,26948,27133,27827,28448,29418,29918
16,053,22918,22960,23438,23791,24078,24486
16,055,146687,149566,153221,157594,161279,165656
16,057,38570,38860,39157,39903,39996,40372
16,059,7728,7744,7715,7837,7974,8067
16,061,3813,3792,3850,3883,3835,3845
16,063,5336,5312,5304,5361,5360,5325
16,065,38005,38120,39111,39540,39451,40205
16,067,20340,20431,20609,20683,20667,20910
16,069,39873,40039,40200,40376,40408,40601
16,071,4177,4249,4302,4393,4429,4500
16,073,11292,11294,11368,11632,11664,11823
16,075,22790,22833,22927,23218,23560,24051
16,077,7734,7690,7653,7587,7654,7636
16,079,12380,12446,12428,12511,12781,12868
16,081,10450,10744,11179,11463,11640,12096
16,083,81019,82289,83847,85439,86166,87127
16,085,9805,10058,10438,10700,11054,11443
16,087,9956,9894,10030,10055,10070,10126
